codigo_fifa,nombre_worldcup26ir,name_en_normalizado,grupo
MEX,Mexico,MEXICO,A
RSA,South Africa,SOUTH AFRICA,A
KOR,South Korea,SOUTH KOREA,A
CZE,Czech Republic,CZECH REPUBLIC,A
CAN,Canada,CANADA,B
BIH,Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA,B
QAT,Qatar,QATAR,B
SUI,Switzerland,SWITZERLAND,B
BRA,Brazil,BRAZIL,C
MAR,Morocco,MOROCCO,C
HAI,Haiti,HAITI,C
SCO,Scotland,SCOTLAND,C
USA,United States,UNITED STATES,D
PAR,Paraguay,PARAGUAY,D
AUS,Australia,AUSTRALIA,D
TUR,Turkey,TURKEY,D
GER,Germany,GERMANY,E
CUW,Curaçao,CURAÇAO,E
CIV,Ivory Coast,IVORY COAST,E
ECU,Ecuador,ECUADOR,E
NED,Netherlands,NETHERLANDS,F
JPN,Japan,JAPAN,F
SWE,Sweden,SWEDEN,F
TUN,Tunisia,TUNISIA,F
BEL,Belgium,BELGIUM,G
EGY,Egypt,EGYPT,G
IRN,Iran,IRAN,G
NZL,New Zealand,NEW ZEALAND,G
ESP,Spain,SPAIN,H
CPV,Cape Verde,CAPE VERDE,H
KSA,Saudi Arabia,SAUDI ARABIA,H
URU,Uruguay,URUGUAY,H
FRA,France,FRANCE,I
SEN,Senegal,SENEGAL,I
IRQ,Iraq,IRAQ,I
NOR,Norway,NORWAY,I
ARG,Argentina,ARGENTINA,J
ALG,Algeria,ALGERIA,J
AUT,Austria,AUSTRIA,J
JOR,Jordan,JORDAN,J
POR,Portugal,PORTUGAL,K
COD,Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO,K
UZB,Uzbekistan,UZBEKISTAN,K
COL,Colombia,COLOMBIA,K
ENG,England,ENGLAND,L
CRO,Croatia,CROATIA,L
GHA,Ghana,GHANA,L
PAN,Panama,PANAMA,L
